Kannathil Muthamittal,(2002),8.2,www.imdb.com/title/tt0312859/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_18
Rang De Basanti,(2006),8.2,www.imdb.com/title/tt0405508/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_19
Dhuruvangal Pathinaaru,(2016),8.2,www.imdb.com/title/tt6380520/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_20
A Wednesday,(2008),8.2,www.imdb.com/title/tt1280558/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_21
Drishyam,(2015),8.2,www.imdb.com/title/tt4430212/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_22
Talvar,(2015),8.2,www.imdb.com/title/tt4934950/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_23
Apur Sansar,(1959),8.2,www.imdb.com/title/tt0052572/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_24
Soodhu Kavvum,(2013),8.2,www.imdb.com/title/tt2877108/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_25
Queen,(2013),8.2,www.imdb.com/title/tt3322420/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_26
Paan Singh Tomar,(2012),8.2,www.imdb.com/title/tt1620933/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_27
Shahid,(2012),8.2,www.imdb.com/title/tt2181831/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_28
Black,(2005),8.2,www.imdb.com/title/tt0375611/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_29
Hera Pheri,(2000),8.2,www.imdb.com/title/tt0242519/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_30
Swades: We, the People,(2004),8.2,www.imdb.com/title/tt0367110/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_31
Sholay,(1975),8.2,www.imdb.com/title/tt0073707/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_32
Jigarthanda,(2014),8.2,www.imdb.com/title/tt3569782/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_33
Jo Jeeta Wohi Sikandar,(1992),8.2,www.imdb.com/title/tt0104561/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=0NBHS4NSMKQ377TJ9TYS&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_34
